Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Solar Zenith Angle
2021,1,1,0,30,0,0,-0.8,0.13,3.7,55.86,7.5,969,0,166.59
2021,1,1,1,30,0,0,-1.6,0.13,3.4000000000000004,53.24,7.300000000000001,970,0,156.65
2021,1,1,2,30,0,0,-2,0.13,3.4000000000000004,52.120000000000005,7.2,970,0,144.67000000000002
2021,1,1,3,30,0,0,-2.2,0.13,3.4000000000000004,51.76,7.1000000000000005,970,0,132.3
2021,1,1,4,30,0,0,-2.3000000000000003,0.13,3.5,51.19,7.1000000000000005,971,0,119.94
2021,1,1,5,30,0,0,-2.5,0.13,3.5,50.99,7,971,0,107.83
2021,1,1,6,30,0,0,-2.5,0.13,3.6,49.32,7.4,972,0,96.16
2021,1,1,7,30,24,480,-2.3000000000000003,0.13,4.1000000000000005,44.37,9.200000000000001,972,66,85.03
2021,1,1,8,30,46,786,-2,0.13,4.800000000000001,37.38,12.100000000000001,973,247,75.19
2021,1,1,9,30,56,902,-2.1,0.13,4.800000000000001,31.41,14.700000000000001,973,412,66.82000000000001
2021,1,1,10,30,65,949,-2.1,0.13,4.1000000000000005,28.2,16.400000000000002,973,530,60.65
2021,1,1,11,30,69,969,-2.8000000000000003,0.13,3.1,24.8,17.6,973,591,57.410000000000004
2021,1,1,12,30,71,956,-4.5,0.13,2.1,21.04,18.2,973,582,57.620000000000005
2021,1,1,13,30,68,928,-4.7,0.13,1.5,20.740000000000002,18.2,973,514,61.230000000000004
2021,1,1,14,30,62,860,-3.8000000000000003,0.13,1,23.3,17.400000000000002,973,389,67.71000000000001
2021,1,1,15,30,50,714,-1.1,0.13,0.8,29.5,16.8,973,220,76.29
2021,1,1,16,30,24,154,1.7000000000000002,0.13,1.1,48.82,12.100000000000001,974,34,86.23
2021,1,1,17,30,0,0,1.3,0.13,1.3,52.54,10.600000000000001,975,0,97.5
2021,1,1,18,30,0,0,1.3,0.13,1.4000000000000001,54.910000000000004,9.9,975,0,109.23
2021,1,1,19,30,0,0,1,0.13,1.4000000000000001,54.910000000000004,9.600000000000001,975,0,121.38
2021,1,1,20,30,0,0,0.7000000000000001,0.13,1.4000000000000001,53.910000000000004,9.600000000000001,975,0,133.75
2021,1,1,21,30,0,0,0.7000000000000001,0.13,1.3,54.49,9.4,975,0,146.1
2021,1,1,22,30,0,0,0.7000000000000001,0.13,1.1,54.9,9.3,975,0,157.96
2021,1,1,23,30,0,0,0.9,0.13,1,56.31,9.200000000000001,976,0,167.3
2021,1,2,0,30,0,0,1.1,0.13,1.2000000000000002,57.57,9,976,0,166.57
2021,1,2,1,30,0,0,0.9,0.13,1.5,57.76,8.8,976,0,156.69
2021,1,2,2,30,0,0,1.7000000000000002,0.13,1.5,61.660000000000004,8.700000000000001,976,0,144.73
2021,1,2,3,30,0,0,2.6,0.13,1.3,65.44,8.700000000000001,976,0,132.35
2021,1,2,4,30,0,0,3.4000000000000004,0.13,1.3,70.71000000000001,8.4,976,0,120
2021,1,2,5,30,0,0,4.3,0.13,1.3,75.69,8.3,977,0,107.88
2021,1,2,6,30,0,0,5,0.13,1.2000000000000002,79.41,8.4,977,0,96.2
2021,1,2,7,30,30,29,5.800000000000001,0.13,1.3,75.65,9.9,978,32,85.05
2021,1,2,8,30,58,664,6.5,0.13,1.5,67.91,12.3,978,227,75.2
2021,1,2,9,30,71,806,5.5,0.13,1.5,55.11,14.4,978,389,66.8
2021,1,2,10,30,76,879,3.9000000000000004,0.13,1.2000000000000002,44.37,16,978,508,60.6
2021,1,2,11,30,79,908,2.2,0.13,1.1,36.56,17.2,977,569,57.33
2021,1,2,12,30,108,760,0.8,0.13,1.5,32.05,17.7,976,516,57.51
2021,1,2,13,30,77,816,1,0.13,1.9000000000000001,32.94,17.5,976,472,61.11
2021,1,2,14,30,90,636,1.3,0.13,1.9000000000000001,35.95,16.400000000000002,976,333,67.57000000000001
2021,1,2,15,30,88,243,2.2,0.13,1.8,40.32,15.700000000000001,976,147,76.15
2021,1,2,16,30,24,10,4.4,0.13,1.6,60,11.9,976,25,86.10000000000001
2021,1,2,17,30,0,0,4.4,0.13,1.4000000000000001,65.14,10.700000000000001,977,0,97.36
2021,1,2,18,30,0,0,4.800000000000001,0.13,1.2000000000000002,68.18,10.4,977,0,109.09
2021,1,2,19,30,0,0,4.800000000000001,0.13,1,68.46000000000001,10.4,977,0,121.24000000000001
2021,1,2,20,30,0,0,4.7,0.13,0.8,67.56,10.4,977,0,133.61
2021,1,2,21,30,0,0,4.4,0.13,0.7000000000000001,67.25,10.200000000000001,977,0,145.96
2021,1,2,22,30,0,0,4,0.13,0.7000000000000001,67.38,9.8,976,0,157.82
