Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Solar Zenith Angle
2019,1,1,0,30,0,0,-6,0.14,4,49.72,3.5,972,0,166.6
2019,1,1,1,30,0,0,-6,0.14,3.9000000000000004,51.160000000000004,3.1,973,0,156.62
2019,1,1,2,30,0,0,-6.2,0.14,4.2,50.79,3,973,0,144.63
2019,1,1,3,30,0,0,-6.9,0.14,4.4,48.52,2.9000000000000004,973,0,132.25
2019,1,1,4,30,0,0,-7,0.14,4.3,48.74,2.7,974,0,119.9
2019,1,1,5,30,0,0,-7,0.14,4,49.43,2.5,975,0,107.79
2019,1,1,6,30,0,0,-7,0.14,4.1000000000000005,48.01,2.9000000000000004,976,0,96.12
2019,1,1,7,30,25,498,-6.9,0.14,4.9,42.7,4.7,976,69,84.99
2019,1,1,8,30,47,798,-7.1000000000000005,0.14,6.1000000000000005,35.29,7.300000000000001,977,252,75.16
2019,1,1,9,30,58,916,-8.200000000000001,0.14,6.800000000000001,28.060000000000002,9.4,978,419,66.8
2019,1,1,10,30,67,964,-9.1,0.14,6.7,23.96,10.700000000000001,977,539,60.65
2019,1,1,11,30,70,985,-9.600000000000001,0.14,6.4,22.080000000000002,11.4,977,601,57.43
2019,1,1,12,30,71,983,-9.700000000000001,0.14,6.2,21.47,11.700000000000001,976,597,57.65
2019,1,1,13,30,71,947,-9.600000000000001,0.14,5.9,21.57,11.700000000000001,976,526,61.28
2019,1,1,14,30,64,880,-9.600000000000001,0.14,5.300000000000001,22.21,11.3,975,397,67.76
2019,1,1,15,30,51,742,-9.200000000000001,0.14,4.9,23.5,10.9,975,226,76.35000000000001
2019,1,1,16,30,23,378,-7.1000000000000005,0.14,3,36.34,6.800000000000001,976,47,86.3
2019,1,1,17,30,0,0,-6.5,0.14,2.8000000000000003,42.76,5.1000000000000005,977,0,97.58
2019,1,1,18,30,0,0,-6.4,0.14,2.6,45.58,4.3,977,0,109.31
2019,1,1,19,30,0,0,-6.4,0.14,2.5,46.5,4,978,0,121.46000000000001
2019,1,1,20,30,0,0,-6.300000000000001,0.14,2.3000000000000003,46.96,4,978,0,133.83
